10002,WSCO1000,2016-01-05 11:45:49.096
10000,WSCO1030,2016-01-05 12:11:19.455
10008,WSCO1031,2016-01-05 12:11:24.107
10013,WSCO1032,2016-01-05 12:11:26.496
10004,WSCO1033,2016-01-05 12:11:29.617
10011,WSCO1034,2016-01-05 12:11:31.769
10009,WSCO1035,2016-01-05 12:13:35.527
10002,WSCO1036,2016-01-05 12:13:37.731
10014,WSCO1037,2016-01-05 12:13:40.051
10015,WSCO1038,2016-01-05 12:13:42.153
10005,WSCO1039,2016-01-05 12:13:44.413
10017,WSCO1040,2016-01-05 12:15:47.652
10018,WSCO1041,2016-01-05 12:15:50.108
10016,WSCO1042,2016-01-05 12:15:52.100
10006,WSCO1043,2016-01-05 12:15:54.514
10012,WSCO1044,2016-01-05 12:15:57.857
10010,WSCO1045,2016-01-10 12:13:01.037
10001,WSCO1046,2016-01-10 12:13:04.094
10003,WSCO1047,2016-01-10 12:13:06.239
10007,WSCO1048,2016-01-10 12:13:08.601
10000,WSCO1049,2016-01-10 12:13:11.836
10008,WSCO1050,2016-01-10 12:15:15.718
10013,WSCO1051,2016-01-10 12:15:18.388
10004,WSCO1052,2016-01-10 12:15:20.393
10011,WSCO1053,2016-01-10 12:15:22.389
10009,WSCO1054,2016-01-10 12:15:25.034
10002,WSCO1055,2016-01-28 12:12:27.877
10014,WSCO1056,2016-01-28 12:12:30.315
10015,WSCO1057,2016-01-28 12:12:32.152
10005,WSCO1058,2016-01-28 12:12:33.904
10017,WSCO1059,2016-01-28 12:12:35.558
10018,WSCO1060,2016-01-28 12:14:39.492
10016,WSCO1061,2016-01-28 12:14:43.535
10006,WSCO1062,2016-01-28 12:14:45.429
10012,WSCO1063,2016-01-28 12:14:47.947
10010,WSCO1064,2016-01-28 12:14:50.365
10001,WSCO1065,2016-02-05 12:11:54.259
10003,WSCO1066,2016-02-05 12:11:56.825
10007,WSCO1067,2016-02-05 12:11:58.549
10000,WSCO1068,2016-02-05 12:12:00.162
10008,WSCO1069,2016-02-05 12:12:01.716
10013,WSCO1070,2016-02-05 12:14:04.622
10004,WSCO1071,2016-02-05 12:14:07.109
10011,WSCO1072,2016-02-05 12:14:08.879
10009,WSCO1073,2016-02-05 12:14:10.538
10002,WSCO1074,2016-02-05 12:14:12.406
10014,WSCO1075,2016-02-15 12:11:15.830
10015,WSCO1076,2016-02-15 12:11:18.276
10005,WSCO1077,2016-02-15 12:11:19.894
10017,WSCO1078,2016-02-15 12:11:21.448
10018,WSCO1079,2016-02-15 12:11:22.996
10016,WSCO1080,2016-02-15 12:13:26.209
10006,WSCO1081,2016-02-15 12:13:28.968
10012,WSCO1082,2016-02-15 12:13:30.776
10010,WSCO1083,2016-02-15 12:13:32.455
10001,WSCO1084,2016-02-15 12:13:34.097
10003,WSCO1085,2016-02-15 12:15:36.860
10007,WSCO1086,2016-02-15 12:15:39.388
10000,WSCO1087,2016-02-15 12:15:41.084
10008,WSCO1088,2016-02-15 12:15:42.691
10013,WSCO1089,2016-02-15 12:15:44.451
10004,WSCO1090,2016-02-28 12:12:47.727
10011,WSCO1091,2016-02-28 12:12:50.766
10009,WSCO1092,2016-02-28 12:12:52.697
10002,WSCO1093,2016-02-28 12:12:54.706
10014,WSCO1094,2016-02-28 12:12:57.500
10015,WSCO1095,2016-02-28 12:15:00.635
10005,WSCO1096,2016-02-28 12:15:03.400
10017,WSCO1097,2016-02-28 12:15:05.646
10018,WSCO1098,2016-02-28 12:15:07.544
10016,WSCO1099,2016-02-28 12:15:10.369
10006,WSCO1100,2016-03-15 12:12:13.613
10012,WSCO1101,2016-03-15 12:12:16.282
10010,WSCO1102,2016-03-15 12:12:18.565
10001,WSCO1103,2016-03-15 12:12:20.890
10003,WSCO1104,2016-03-15 12:12:24.245
10007,WSCO1105,2016-03-15 12:14:27.108
10000,WSCO1106,2016-03-15 12:14:29.517
10008,WSCO1107,2016-03-15 12:14:32.380
10013,WSCO1108,2016-03-15 12:14:34.286
10004,WSCO1109,2016-03-15 12:14:36.857
10011,WSCO1110,2016-03-25 12:11:39.952
10009,WSCO1111,2016-03-25 12:11:42.588
10002,WSCO1112,2016-03-25 12:11:44.225
10014,WSCO1113,2016-03-25 12:11:45.940
10015,WSCO1114,2016-03-25 12:11:47.597
10005,WSCO1115,2016-03-25 12:13:50.389
10017,WSCO1116,2016-03-25 12:13:52.831
10018,WSCO1117,2016-03-25 12:13:54.348
10016,WSCO1118,2016-03-25 12:13:55.912
10006,WSCO1119,2016-03-25 12:13:57.485
10012,WSCO1120,2016-03-25 12:15:59.990
10010,WSCO1121,2016-03-25 12:16:02.479
10001,WSCO1122,2016-03-25 12:16:04.007
10003,WSCO1123,2016-03-25 12:16:05.611
10007,WSCO1124,2016-03-25 12:16:07.191
10000,WSCO1125,2016-04-05 12:13:09.811
10008,WSCO1126,2016-04-05 12:13:12.276
10013,WSCO1127,2016-04-05 12:13:14.193
10004,WSCO1128,2016-04-05 12:13:15.841
10011,WSCO1129,2016-04-05 12:13:17.671
10009,WSCO1130,2016-04-05 12:15:20.379
10002,WSCO1131,2016-04-05 12:15:22.941
10014,WSCO1132,2016-04-05 12:15:24.615
10015,WSCO1133,2016-04-05 12:15:26.121
10005,WSCO1134,2016-04-05 12:15:27.684
10017,WSCO1135,2016-04-25 12:12:30.651
10018,WSCO1136,2016-04-25 12:12:33.522
10016,WSCO1137,2016-04-25 12:12:35.547
10006,WSCO1138,2016-04-25 12:12:37.710
10012,WSCO1139,2016-04-25 12:12:40.257
10010,WSCO1140,2016-04-25 12:14:43.492
10001,WSCO1141,2016-04-25 12:14:46.412
10003,WSCO1142,2016-04-25 12:14:48.695
10007,WSCO1143,2016-04-25 12:14:50.795
10000,WSCO1144,2016-04-25 12:14:53.968
10008,WSCO1145,2016-05-05 12:11:57.998
10013,WSCO1146,2016-05-05 12:12:02.024
10004,WSCO1147,2016-05-05 12:12:03.809
10011,WSCO1148,2016-05-05 12:12:05.373
10009,WSCO1149,2016-05-05 12:12:07.519
10002,WSCO1150,2016-05-05 12:14:10.420
10014,WSCO1151,2016-05-05 12:14:12.986
10015,WSCO1152,2016-05-05 12:14:15.143
10005,WSCO1153,2016-05-05 12:14:16.838
10017,WSCO1154,2016-05-05 12:14:18.505
10018,WSCO1155,2016-05-25 12:11:21.663
10016,WSCO1156,2016-05-25 12:11:24.174
10006,WSCO1157,2016-05-25 12:11:25.904
10012,WSCO1158,2016-05-25 12:11:27.667
10010,WSCO1159,2016-05-25 12:11:32.577
10001,WSCO1160,2016-05-25 12:13:36.191
10003,WSCO1161,2016-05-25 12:13:38.801
10007,WSCO1162,2016-05-25 12:13:40.524
10000,WSCO1163,2016-05-25 12:13:42.113
10008,WSCO1164,2016-05-25 12:13:43.847
10013,WSCO1165,2016-05-25 12:15:47.121
10004,WSCO1166,2016-05-25 12:15:48.853
10011,WSCO1167,2016-05-25 12:15:50.912
10009,WSCO1168,2016-05-25 12:15:52.492
10002,WSCO1169,2016-05-25 12:15:54.142
10014,WSCO1170,2016-05-28 12:12:57.434
10015,WSCO1171,2016-05-28 12:12:59.118
10005,WSCO1172,2016-05-28 12:13:01.197
