product_id,features
10035,280.000
10010,750.000
10002,105.000
10055,1200.000
10054,1200.000
10053,1200.000
10054,1200.000
10004,180.000
10008,1100.000
10052,1200.000
10050,800.000
10049,800.000
10048,800.000
10047,800.000
10045,1000.000
10044,1000.000
10043,1000.000
10042,1000.000
10040,800.000
10039,800.000
10038,800.000
10037,800.000
10034,280.000
10033,280.000
10032,280.000
10030,900.000
10029,900.000
10028,900.000
10027,900.000
10012,1000.000
10027,1100.000
10014,1000.000
10015,1000.000
10052,1200.000
10055,1200.000
10053,1200.000
10048,800.000
10045,1000.000
10044,1000.000
10043,1000.000
10023,550.000
10022,550.000
10020,350.000
10019,350.000
10018,350.000
10017,350.000
10014,1000.000
10013,700.000
10012,1000.000
10009,750.000
10008,750.000
10007,750.000
10004,125.000
10003,140.000
10001,140.000
10000,70.000
10010,1100.000
10025,1300.000
10018,350.000
10052,1200.000
10052,1800.000
10002,150.000
10018,500.000
10018,350.000
10000,70.000
10001,140.000
10002,105.000
10003,140.000
10004,125.000
10005,120.000
10022,1300.000
10023,1300.000
10024,1300.000
10025,1300.000
10027,1100.000
10028,1100.000
10029,1100.000
10030,1100.000
10032,400.000
10037,1200.000
10038,1200.000
10039,1200.000
10040,1200.000
10042,1500.000
10049,1200.000
10050,1200.000
10052,1800.000
10053,1800.000
10054,1800.000
10055,1800.000
10043,1500.000
10044,1500.000
10045,1500.000
10047,1200.000
10048,1200.000
10007,1100.000
10008,1100.000
10009,1100.000
10010,1100.000
10012,1000.000
10013,1000.000
10015,1000.000
10014,1000.000
10017,500.000
10018,500.000
10019,500.000
10020,500.000
10033,400.000
10034,400.000
10035,400.000
10020,500.000
10005,150.000
10034,400.000
10033,400.000
10008,750.000
10010,1100.000
10012,700.000
10014,1000.000
10017,350.000
10008,1100.000
10010,1100.000
10012,1000.000
10014,1000.000
10017,500.000
10025,1300.000
10018,500.000
10030,900.000
10001,200.000
10002,150.000
10009,1100.000
10007,1100.000
10008,1100.000
10010,1100.000
10017,500.000
10030,900.000
10030,900.000
10003,140.000
10003,140.000
10020,500.000
10010,750.000
10010,1100.000
10001,200.000
10037,800.000
10004,180.000
10037,800.000
10007,1100.000
10024,550.000
10037,800.000
10000,70.000
10037,800.000
10037,800.000
10037,800.000
10007,1100.000
10008,750.000
10009,1100.000
10010,1100.000
10039,800.000
10038,800.000
10004,125.000
10025,1300.000
10020,500.000
10032,400.000
10004,125.000
10049,1200.000
10001,140.000
10055,1800.000
10007,1100.000
10017,500.000
10002,105.000
10007,1100.000
10029,1100.000
10029,1100.000
10017,500.000
10042,1000.000
10037,800.000
10052,1800.000
10001,195.000
10001,195.000
10001,200.000
10039,1200.000
10023,550.000
10042,1000.000
10001,195.000
10001,200.000
10037,800.000
10004,180.000
10043,1000.000
10043,1000.000
10043,1000.000
10053,1800.000
10048,1200.000
10053,1800.000
10043,1000.000
10043,1000.000
10012,1000.000
10020,500.000
10000,70.000
10027,1100.000
10028,1100.000
10020,500.000
10025,1300.000
10032,400.000
10018,500.000
10019,500.000
10020,500.000
10027,1100.000
10025,1300.000
10023,1300.000
10024,1300.000
10022,1300.000
10022,1300.000
10082,131.250
10025,1300.000
10120,280.000
10120,280.000
10120,280.000
10055,1800.000
10120,280.000
10085,120.000
10084,120.000
10069,120.000
10025,1300.000
10043,1000.000
10106,1000.000
10103,750.000
10000,25.000
10000,25.000
10097,280.000
10102,800.000
10102,800.000
10102,800.000
10102,800.000
10101,750.000
10100,800.000
10002,37.500
10048,1100.000
10047,300.000
10098,280.000
10025,1300.000
10037,800.000
10025,1300.000
10025,1300.000
10060,750.000
10070,256.250
10066,750.000
10062,750.000
10096,280.000
10000,70.000
10053,1800.000
10002,105.000
10002,105.000
10002,105.000
10002,105.000
10002,105.000
10022,325.000
10012,250.000
10001,195.000
10002,105.000
10022,1300.000
10002,150.000
10004,180.000
10028,1100.000
10018,500.000
10024,1300.000
10018,500.000
10033,400.000
10032,400.000
10022,1300.000
10091,1125.000
10090,1125.000
10089,1125.000
10088,1125.000
10087,1125.000
10086,1125.000
10085,1125.000
10084,1125.000
10030,1100.000
10029,1100.000
10028,1100.000
10027,1100.000
10067,1125.000
10066,1125.000
10065,1125.000
10064,1125.000
10063,1125.000
10062,1125.000
10061,1125.000
10060,1125.000
10010,1100.000
10009,1100.000
10008,1100.000
10007,1100.000
10099,425.000
10098,425.000
10097,425.000
10096,425.000
10095,425.000
10094,425.000
10093,425.000
10092,425.000
10035,400.000
10034,400.000
10033,400.000
10032,400.000
10067,674.000
10066,674.000
10065,674.000
10064,674.000
10063,674.000
10062,674.000
10061,674.000
10060,674.000
10010,659.000
10009,659.000
10008,659.000
10007,659.000
10002,89.000
10055,1079.000
10054,1079.000
10053,1079.000
10052,1079.000
10045,1119.000
10044,1299.000
10043,1299.000
10042,1299.000
10045,0.000
10044,0.000
10043,0.000
10042,1299.000
10045,1119.000
10044,1299.000
10043,1299.000
10042,1299.000
10067,674.000
10066,674.000
10065,674.000
10064,674.000
10063,674.000
10062,674.000
10061,674.000
10060,674.000
10010,659.000
10009,659.000
10008,659.000
10007,659.000
10055,1079.000
10054,1079.000
10053,1079.000
10052,1079.000
SHORT_SHIRT,656.000
SHORT_SHIRT,656.000
SHORT_SHIRT,656.000
SHORT_SHIRT,656.000
SHORT_SHIRT,656.000
SHORT_SHIRT,656.000
10120,0.000
10067,674.000
10066,674.000
10065,674.000
10064,0.000
10063,674.000
10062,674.000
10061,674.000
10060,674.000
10010,0.000
10009,659.000
10008,659.000
10007,659.000
10067,1125.000
10066,1125.000
10065,1125.000
10064,1125.000
10063,1125.000
10062,1125.000
10061,1125.000
10060,1125.000
10010,1100.000
10009,1100.000
10008,1100.000
10007,1100.000
10000,100.000
10055,0.000
10054,1079.000
10053,1079.000
10052,1079.000
10003,119.000
10050,0.000
10049,1119.000
10048,1119.000
10047,1119.000
10020,0.000
10019,299.000
10018,299.000
10017,299.000
10075,614.000
10074,614.000
10073,614.000
10072,614.000
10071,614.000
10070,614.000
10069,614.000
10068,614.000
10015,599.000
10014,599.000
10013,599.000
10012,599.000
10067,674.000
10066,674.000
10065,674.000
10064,674.000
10063,674.000
10062,674.000
10061,674.000
10060,674.000
10010,659.000
10009,659.000
10008,659.000
10007,659.000
10067,0.000
10066,674.000
10065,674.000
10064,674.000
10063,674.000
10062,0.000
10061,674.000
10060,674.000
10010,659.000
10009,659.000
10008,0.000
10007,659.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10045,0.000
10044,1500.000
10043,1500.000
10042,1500.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10045,0.000
10044,1500.000
10043,1500.000
10042,1500.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10004,180.000
10107,0.000
10106,0.000
10105,1225.000
10104,0.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,1200.000
10038,1200.000
10037,1200.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,0.000
10106,0.000
10105,0.000
10104,0.000
10103,1225.000
10102,1225.000
10101,1225.000
10100,1225.000
10040,0.000
10039,0.000
10038,1200.000
10037,1200.000
10004,180.000
10107,0.000
10106,0.000
10105,1225.000
10104,0.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,0.000
10039,1200.000
10038,1200.000
10037,1200.000
10004,180.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,1225.000
10106,0.000
10105,1225.000
10104,0.000
10103,1225.000
10102,1225.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,1200.000
10038,1200.000
10037,1200.000
10004,180.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,1225.000
10106,1225.000
10105,1225.000
10104,1225.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,0.000
10038,0.000
10037,0.000
10107,1225.000
10106,1225.000
10105,1225.000
10104,1225.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,1200.000
10038,0.000
10037,0.000
10055,0.000
10054,1800.000
10053,1800.000
10052,0.000
10120,279.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,1225.000
10106,0.000
10105,0.000
10104,0.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,1200.000
10038,1200.000
10037,1200.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,0.000
10106,0.000
10105,1225.000
10104,0.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,0.000
10039,0.000
10038,1200.000
10037,1200.000
10003,200.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,1225.000
10106,1225.000
10105,1225.000
10104,1225.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,1200.000
10038,0.000
10037,0.000
10003,200.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,0.000
10106,1225.000
10105,0.000
10104,1225.000
10103,1225.000
10102,1225.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,1200.000
10038,1200.000
10037,1200.000
10004,180.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,1225.000
10106,1225.000
10105,1225.000
10104,1225.000
10103,1225.000
10102,1225.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,0.000
10038,1200.000
10037,0.000
10003,200.000
10107,0.000
10106,0.000
10105,0.000
10104,0.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,0.000
10039,1200.000
10038,1200.000
10037,1200.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10004,180.000
10067,0.000
10066,1125.000
10065,0.000
10064,1125.000
10063,0.000
10062,1125.000
10061,0.000
10060,1125.000
10010,1100.000
10009,1100.000
10008,1100.000
10007,1100.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10004,180.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10107,1225.000
10106,0.000
10105,0.000
10104,0.000
10103,1225.000
10102,0.000
10101,1225.000
10100,1225.000
10040,1200.000
10039,1200.000
10038,1200.000
10037,1200.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10050,0.000
10049,1200.000
10048,1200.000
10047,1200.000
10055,1800.000
10054,1800.000
10053,1800.000
10052,1800.000
10050,0.000
10049,1200.000
10048,0.000
10047,1200.000
10003,200.000
10004,180.000
10045,1200.000
10044,1500.000
10043,1500.000
10042,1500.000
10107,0.000
10106,0.000
10105,0.000
10104,0.000
10103,0.000
10102,0.000
10101,1225.000
10100,1225.000
10040,0.000
10039,0.000
10038,0.000
10037,1200.000
10004,180.000
10045,1200.000
10044,1500.000
10043,1500.000
10042,1500.000
10004,180.000
10005,150.000
10003,200.000
10107,0.000
10106,1225.000
10105,0.000
